Wanted,QTY,REGULAR SINGLE CARDS,HOLO SINGLE CARDS,FOIL SINGLE CARDS
Ancient Tomb English,1,Asia Pacific Basic Lands(PALP),BRUTAL BASIC LANDS (none foil),3 COLOR LANDS FOIL SET
Animate Dead,1,Dual Lands Beta,Dual Lands 30th Holo Set,Bob Ross lands foil
Archon of Cruelty,1,Dual Lands French Black Border,Dual Lands Vintage Masters Holo Set,Brutality Basic Lands Set foil
"Atraxa, Grand Unifier",1,Dual Lands French White Border,FETCH LANDS Holo,DUAL LANDS Beta FOIL VINTAGE
"AVacyn, Angel of Hope",1,Dual Lands Germany Black border,FETCH LANDS MH2 EXTEND ART (5 Cards),FETCH LANDS (ZNE) FOIL
"Azusa, Lost but Seeking",1,Dual Lands Germany White border,FETCH LANDS MH2 Regular(5 Cards),FETCH LANDS EXP FOIL
Badlands,1,Dual Lands Italian Black Border,FETCH LANDS SLD HOLO (5 CARDS),FETCH LANDS Judge 2009 set (5 cards)
Balefire Dragon,1,Dual Lands Italian White Border,FETCH LANDS ZNE HOLO,FETCH LANDS ORIGINAL VERSION FOIL
Bayou,1,Dual Lands Retro Frame 30th,Medallion Lot holo,FILTER LANDS EXP FOIL
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",1,Dual Lands Revised English,Pathways Set (10 cards),Judge Gift 2014 basic lands set foil
Blackcleave Cliffs,1,Dual Lands Unlimited,Power 9 30th Holo Set,POWER 9 Beta FOIL VINTAGE
Blood Crypt,1,European Land Program (5 Cards),Power 9 Vintage Masters Set,SHOCK LANDS EXP FOIL
Blood Moon,1,Fetch Lands Italian,SHOCK LANDS Holo,SHOCK LANDS HOLO FOIL
Bloodstained Mire,1,FETCH LANDS MH 2 OLD FRAME,SHOCK LANDS SLD HOLO,SHOCK LANDS ORIGINAL VERSION FOIL SET
"Boseiju, Who Endures",1,FETCH LANDS Russian language,UNF SHOCK LANDS,SHOCK LANDS UNF Borderless foil
Buried Alive,1,FETCH LANDS SET,VORACIOUS READER basic lands set,SHOCK LANDS UNF Galaxy Foil
